,id,name,symbol,slug,token_address,tags
28,29150,Ponke,PONKE,ponke,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,"memes,solana-ecosystem,base-ecosystem,made-in-america"
29,30636,Zebec Network,ZBCN,zebec-network,ZBCNpuD7YMXzTHB2fhGkGi78MNsHGLRXUhRewNRm9RU,"defi,payments,solana-ecosystem,real-world-assets,depin,made-in-america"
30,12760,Sanctum Infinity,INF,sanctum-infinity,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,"solana-ecosystem,rehypothecated-crypto"
31,33291,Fwog (SOL),FWOG,fwog-solana,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,"memes,solana-ecosystem,cmc-community-vote-winners,pump-fun-ecosystem,binance-alpha"
32,7978,Solana Name Service,FIDA,solana-name-service,EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp,"defi,three-arrows-capital-portfolio,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,ftx-bankruptcy-estate,dwf-labs-portfolio"
33,34125,Just a chill guy,CHILLGUY,just-a-chill-guy,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,"memes,solana-ecosystem,pump-fun-ecosystem"
34,30986,Kamino Finance,KMNO,kamino-finance,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,"defi,solana-ecosystem,lending-borowing,binance-alpha"
35,34926,AI Rig Complex,ARC,ai-rig-complex,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,"ai-big-data,solana-ecosystem,ai-agents,pump-fun-ecosystem,binance-alpha"
36,34116,AVA,AVA,ava-sol,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,"solana-ecosystem,pump-fun-ecosystem,binance-alpha"
37,20605,TARS AI,TAI,tars-protocol,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,"ai-big-data,solana-ecosystem,ai-agents,ai-agent-launchpad"
38,30449,Tensor,TNSR,tensor,TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6,"collectibles-nfts,solana-ecosystem"
39,20969,GEODNET,GEOD,geodnet,7JA5eZdCzztSfQbJvS8aVVxMFfd81Rs9VvwnocV1mKHu,"distributed-computing,solana-ecosystem,polygon-ecosystem,iotex-ecosystem,depin"
40,33881,Comedian,BAN,comedian,9PR7nCP9DpcUotnDPVLUBUZKu5WAYkwrCUx9wDnSpump,"memes,solana-ecosystem,pump-fun-ecosystem"
41,35421,Vine Coin,VINE,vine-coin,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,"memes,solana-ecosystem,pump-fun-ecosystem,binance-alpha,startup-memes"
42,34083,Zerebro,ZEREBRO,zerebro,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,"ai-big-data,memes,solana-ecosystem,ai-memes,ai-agents,binance-alpha"
43,34853,Unicorn Fart Dust,UFD,unicorn-fart-dust,eL5fUxj2J4CiQsmW85k5FG9DvuQjjUoBHoQBi2Kpump,"memes,solana-ecosystem,pump-fun-ecosystem,binance-alpha"
44,29920,SLERF,SLERF,slerf,7BgBvyjrZX1YKz4oh9mjb8ZScatkkwb8DzFx7LoiVkM3,"memes,solana-ecosystem,presale-memes"
45,32088,Roam,ROAM,roam,RoamA1USA8xjvpTJZ6RvvxyDRzNh6GCA1zVGKSiMVkn,"solana-ecosystem,depin"
46,29175,Wen,WEN,wen,WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk,"collectibles-nfts,memes,solana-ecosystem,web3,cat-themed,animal-memes,ip-memes,made-in-america"
47,35537,Jelly-My-Jelly,JELLYJELLY,jelly-my-jelly,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,"memes,solana-ecosystem,pump-fun-ecosystem,binance-alpha,startup-memes,moonshot"
48,30661,Parcl,PRCL,parcl,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,"real-estate,coinbase-ventures-portfolio,governance,solana-ecosystem,dragonfly-capital-portfolio,real-world-assets,shima-capital,made-in-america"
49,35747,Doodles,DOOD,doodles,DvjbEsdca43oQcw2h3HW1CT7N3x5vRcr3QrvTUHnXvgV,"art,collectibles-nfts,content-creation,solana-ecosystem,base-ecosystem,binance-alpha"
50,24600,Helium Mobile,MOBILE,helium-mobile,mb1eu7TzEc71KxDpsmsKoucSSuuoGLv1drys1oP2jh6,"distributed-computing,solana-ecosystem,depin"
51,16612,Nosana,NOS,nosana,nosXBVoaCTtYdLvKY6Csb4AC8JCdQKKAaWYtx2ZMoo7,"ai-big-data,distributed-computing,solana-ecosystem,depin"
52,36356,Housecoin,HOUSE,housecoin,DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,"memes,solana-ecosystem,pump-fun-ecosystem,binance-alpha"
53,35426,Fartboy,FARTBOY,fartboy,y1AZt42vceCmStjW4zetK3VoNarC1VxJ5iDjpiupump,"memes,solana-ecosystem,pump-fun-ecosystem"
54,34993,Swarms,SWARMS,swarms,74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,"ai-big-data,solana-ecosystem,ai-agents,pump-fun-ecosystem,binance-alpha"
55,32171,Purple Pepe,$PURPE,purple-pepe,HBoNJ5v8g71s2boRivrHnfSB5MVPLDHHyVjruPfhGkvL,"memes,solana-ecosystem"
56,35053,pippin,PIPPIN,pippin,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,"memes,solana-ecosystem,pump-fun-ecosystem,binance-alpha"
57,30943,michi (SOL),$MICHI,michi,5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp,"memes,solana-ecosystem,cat-themed,animal-memes,pump-fun-ecosystem,moonshot"
58,31921,RETARDIO,RETARDIO,retardio,6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,"memes,solana-ecosystem,cmc-community-vote-winners"
59,28382,Myro,MYRO,myro,HhJpBhRRn4g56VsyLuT8DL5Bv31HkXqsrahTTUCZeZg4,"memes,solana-ecosystem,doggone-doggerel,animal-memes"
60,33854,Bertram The Pomeranian,BERT,bertram-the-pomeranian,HgBRWfYxEfvPhtqkaeymCQtHCrKE46qQ43pKe8HCpump,"memes,solana-ecosystem,doggone-doggerel,animal-memes,pump-fun-ecosystem,ip-memes,made-in-america"
61,36393,Boop,BOOP,boop-fun,boopkpWqe68MSxLqBGogs8ZbUDN4GXaLhFwNP7mpP1i,"memes,solana-ecosystem,bnb-chain-ecosystem,binance-alpha,binance-alpha-airdrops"
62,35214,Bubblemaps,BMT,bubblemaps,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,"ai-big-data,research,dapp,solana-ecosystem,analytics,bnb-chain-ecosystem,binance-alpha,binance-hodler-airdrops,binance-wallet-ido"
63,36390,New XAI gork,gork,new-xai-gork,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,"memes,solana-ecosystem,pump-fun-ecosystem,binance-alpha"
64,19131,Artrade,ATR,artrade,ATRLuHph8dxnPny4WSNW7fxkhbeivBrtWbY6BfB4xpLj,"solana-ecosystem,real-world-assets"
65,31528,deBridge,DBR,debridge,DBRiDgJAMsM95moTzJs7M9LnkGErpbv9v6CUR1DXnUu5,"interoperability,governance,solana-ecosystem,cross-chain,intent"
66,23015,Neon EVM,NEON,neon,NeonTjSjsuo3rexg9o6vHuMXw62f9V7zvmu8M8Zut44,"interoperability,solana-ecosystem,parallel-evm"
67,36355,Hosico,HOSICO,hosico,9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk,"solana-ecosystem,cat-themed,bonk-fun-ecosystem"
68,16352,Green Satoshi Token (SOL),GST,green-satoshi-token,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,"gaming,solana-ecosystem,move-to-earn"
69,36415,moonpig,MOONPIG,moonpig,Ai3eKAWjzKMV8wRwd41nVP83yqfbAVJykhvJVPxspump,"memes,solana-ecosystem,pump-fun-ecosystem"
